Altium Designer Pick and Place Locations
D:\1401.06_fland\BLOX\Electrical\DevKit\board\Project Outputs for BAS_DevKITV3\Pick Place\Pick Place for DevKITV3(Production).txt

========================================================================================================================
File Design Information:

Date:       29/12/22
Time:       17:49
Revision:   0d502c7c95843c00281c229e6f614315dd34a5c7
Variant:    Production
Units used: mil

Designator     Comment         Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                       
R519           0O              TopLayer    R0402                      3295.276      4807.087      0        "0O 62.5mW"                                                                       
R406           100KO           TopLayer    R0402                      1850.394      1785.433      90       "100KO 1% 62.5mW 100PPM"                                                          
R405           10KO            TopLayer    R0402                      1929.134      1807.087      0        "10KO 1% 62.5mW"                                                                  
R204           10KO            TopLayer    R0402                      3803.150      2933.071      180      "10KO 1% 62.5mW"                                                                  
R203           10KO            TopLayer    R0402                      3781.496      2972.441      180      "10KO 1% 62.5mW"                                                                  
J601           SPI             BottomLayer SPI_PROG_TYPE1             4527.559      5228.346      90       "SPI Programming connection"                                                      
J202           SPI             TopLayer    SPI_PROG_TYPE1             4007.874      3433.071      0        "SPI Programming connection"                                                      
J103           Header          TopLayer    1X6P_2.54MM_SMT            1338.583      4133.858      180      "Header 1x6P SMT Mount"                                                           
J402           Header          TopLayer    1X3P_2.54mm                3314.961      2913.386      90       "Header 1x3P"                                                                     
R626           0O              BottomLayer R0402                      5748.032      4753.937      90       "0O 62.5mW"                                                                       
R625           0O              BottomLayer R0402                      5748.032      2391.732      90       "0O 62.5mW"                                                                       
R624           10KO            BottomLayer R0402                      5748.032      5009.842      90       "10KO 1% 62.5mW"                                                                  
R623           10KO            BottomLayer R0402                      5748.032      2647.638      90       "10KO 1% 62.5mW"                                                                  
R621           0O              BottomLayer R0402                      5787.402      2647.638      90       "0O 62.5mW"                                                                       
R616           0O              BottomLayer R0402                      5787.402      4753.937      270      "0O 62.5mW"                                                                       
R615           0O              BottomLayer R0402                      5787.402      2391.732      270      "0O 62.5mW"                                                                       
IC604          UCS2114         BottomLayer VQFN-20_3X3                5748.032      4881.890      90       "Dual USB Power Switch with Integrated Current Sensor"                            
IC603          UCS2114         BottomLayer VQFN-20_3X3                5748.032      2519.685      90       "Dual USB Power Switch with Integrated Current Sensor"                            
C641           47µF            BottomLayer C1210                      5610.236      4773.622      270      "47µF 16V 20% X5R"                                                                
C640           47µF            BottomLayer C1210                      5610.236      4990.158      90       "47µF 16V 20% X5R"                                                                
C639           47µF            BottomLayer C1210                      5501.968      4773.622      270      "47µF 16V 20% X5R"                                                                
C638           47µF            BottomLayer C1210                      5501.968      4990.158      90       "47µF 16V 20% X5R"                                                                
C637           100nF           BottomLayer C0402                      5620.079      4881.890      180      "100nF 16V 10% X7R"                                                               
C636           47µF            BottomLayer C1210                      5610.236      2627.953      90       "47µF 16V 20% X5R"                                                                
C635           47µF            BottomLayer C1210                      5501.968      2627.953      90       "47µF 16V 20% X5R"                                                                
C634           47µF            BottomLayer C1210                      5610.236      2411.417      270      "47µF 16V 20% X5R"                                                                
C633           47µF            BottomLayer C1210                      5501.968      2411.417      270      "47µF 16V 20% X5R"                                                                
